user,time,,checkin_checkout,,
18,2/11/2022 12:07,1,0,1,0
20,2/11/2022 12:08,1,0,1,0
11,2/11/2022 12:19,1,0,1,0
3,2/11/2022 12:38,1,0,1,0
14,2/11/2022 12:58,1,0,1,0
9,2/11/2022 13:05,1,0,1,0
17,2/11/2022 13:18,1,0,1,0
6,2/11/2022 13:27,1,0,1,0
12,2/11/2022 13:29,1,0,1,0
1,2/11/2022 13:44,1,0,1,0
4,2/11/2022 13:44,1,0,1,0
28,2/11/2022 13:45,1,0,1,0
19,2/11/2022 13:56,1,0,1,0
27,2/11/2022 13:59,1,0,1,0
10,2/11/2022 14:02,1,0,1,0
200,2/11/2022 14:39,1,0,1,0
15,2/11/2022 14:45,1,0,1,0
5,2/11/2022 15:12,1,0,1,0
7,2/11/2022 19:26,1,1,1,0
3,2/11/2022 19:27,1,1,1,0
11,2/11/2022 19:27,1,1,1,0
17,2/11/2022 19:28,1,1,1,0
27,2/11/2022 19:28,1,1,1,0
12,2/11/2022 19:28,1,1,1,0
10,2/11/2022 19:28,1,1,1,0
1,2/11/2022 19:28,1,1,1,0
19,2/11/2022 19:29,1,1,1,0
20,2/11/2022 19:33,1,1,1,0
9,2/11/2022 19:33,1,1,1,0
18,2/11/2022 19:33,1,1,1,0
6,2/11/2022 19:34,1,1,1,0
14,2/11/2022 19:34,1,1,1,0
5,2/11/2022 19:34,1,1,1,0
28,2/11/2022 19:36,1,1,1,0
15,2/11/2022 19:36,1,1,1,0
4,2/11/2022 19:42,1,1,1,0
8,2/12/2022 1:56,1,1,1,0
28,2/12/2022 11:01,1,0,1,0
8,2/12/2022 11:13,1,0,1,0
3,2/12/2022 12:03,1,0,1,0
10,2/12/2022 12:03,1,0,1,0
11,2/12/2022 12:38,1,0,1,0
7,2/12/2022 12:39,1,0,1,0
20,2/12/2022 12:57,1,0,1,0
18,2/12/2022 13:00,1,0,1,0
12,2/12/2022 13:03,1,0,1,0
9,2/12/2022 13:10,1,0,1,0
14,2/12/2022 13:19,1,0,1,0
6,2/12/2022 13:25,1,0,1,0
17,2/12/2022 13:32,1,0,1,0
19,2/12/2022 13:48,1,0,1,0
5,2/12/2022 13:52,1,0,1,0
1,2/12/2022 14:02,1,0,1,0
4,2/12/2022 14:02,1,0,1,0
15,2/12/2022 14:44,1,0,1,0
28,2/12/2022 17:32,1,1,1,0
27,2/12/2022 18:23,1,1,1,0
6,2/12/2022 18:45,1,1,1,0
5,2/12/2022 19:31,1,1,1,0
4,2/12/2022 19:52,1,1,1,0
17,2/12/2022 19:53,1,1,1,0
12,2/12/2022 19:56,1,1,1,0
11,2/12/2022 19:59,1,1,1,0
18,2/12/2022 19:59,1,1,1,0
1,2/12/2022 19:59,1,0,1,0
10,2/12/2022 20:02,1,1,1,0
3,2/12/2022 20:02,1,1,1,0
7,2/12/2022 20:03,1,1,1,0
9,2/12/2022 20:04,1,1,1,0
20,2/12/2022 20:07,1,1,1,0
19,2/12/2022 20:08,1,1,1,0
14,2/12/2022 20:21,1,1,1,0
15,2/12/2022 20:21,1,1,1,0
8,2/13/2022 3:03,1,1,1,0
8,2/13/2022 13:02,1,0,1,0
8,2/14/2022 1:38,1,1,1,0
28,2/14/2022 11:08,1,0,1,0
8,2/14/2022 12:03,1,0,1,0
9,2/14/2022 12:11,1,0,1,0
14,2/14/2022 12:24,1,0,1,0
200,2/14/2022 12:38,1,0,1,0
7,2/14/2022 12:44,1,0,1,0
11,2/14/2022 12:55,1,0,1,0
17,2/14/2022 12:58,1,0,1,0
10,2/14/2022 13:06,1,0,1,0
3,2/14/2022 13:06,1,0,1,0
6,2/14/2022 13:06,1,0,1,0
12,2/14/2022 13:10,1,0,1,0
1,2/14/2022 13:17,1,0,1,0
4,2/14/2022 13:18,1,0,1,0
19,2/14/2022 13:23,1,0,1,0
20,2/14/2022 13:24,1,0,1,0
18,2/14/2022 13:27,1,0,1,0
27,2/14/2022 13:54,1,0,1,0
5,2/14/2022 14:09,1,0,1,0
29,2/14/2022 14:54,1,0,1,0
15,2/14/2022 15:36,1,0,1,0
28,2/14/2022 19:14,1,1,1,0
5,2/14/2022 19:46,1,1,1,0
19,2/14/2022 19:55,1,1,1,0
4,2/14/2022 20:21,1,1,1,0
10,2/14/2022 20:22,1,1,1,0
3,2/14/2022 20:22,1,1,1,0
12,2/14/2022 20:22,1,1,1,0
6,2/14/2022 20:22,1,1,1,0
17,2/14/2022 20:22,1,1,1,0
29,2/14/2022 20:22,1,1,1,0
200,2/14/2022 20:23,1,1,1,0
7,2/14/2022 20:26,1,1,1,0
1,2/14/2022 20:26,1,1,1,0
14,2/14/2022 20:40,1,1,1,0
11,2/14/2022 20:41,1,1,1,0
9,2/14/2022 20:48,1,1,1,0
20,2/14/2022 20:52,1,1,1,0
15,2/14/2022 20:53,1,1,1,0
18,2/14/2022 21:56,1,1,1,0
8,2/15/2022 2:00,1,1,1,0
8,2/15/2022 10:58,1,0,1,0
28,2/15/2022 11:19,1,0,1,0
18,2/15/2022 12:05,1,0,1,0
20,2/15/2022 12:05,1,0,1,0
3,2/15/2022 12:11,1,0,1,0
10,2/15/2022 12:11,1,0,1,0
6,2/15/2022 12:56,1,0,1,0
13,2/15/2022 13:10,1,0,1,0
19,2/15/2022 13:14,1,0,1,0
12,2/15/2022 13:22,1,0,1,0
9,2/15/2022 13:30,1,0,1,0
17,2/15/2022 13:40,1,0,1,0
200,2/15/2022 13:40,1,0,1,0
1,2/15/2022 13:48,1,0,1,0
4,2/15/2022 13:49,1,0,1,0
7,2/15/2022 14:28,1,0,1,0
18,2/15/2022 14:48,1,1,1,0
20,2/15/2022 14:48,1,1,1,0
29,2/15/2022 14:55,1,0,1,0
5,2/15/2022 15:35,1,0,1,0
15,2/15/2022 15:54,1,0,1,0
5,2/15/2022 16:48,1,1,1,0
28,2/15/2022 19:26,1,1,1,0
4,2/15/2022 19:57,1,1,1,0
29,2/15/2022 19:57,1,1,1,0
1,2/15/2022 19:59,1,1,1,0
17,2/15/2022 19:59,1,1,1,0
3,2/15/2022 19:59,1,0,1,0
10,2/15/2022 20:00,1,1,1,0
6,2/15/2022 20:02,1,1,1,0
12,2/15/2022 20:02,1,1,1,0
9,2/15/2022 20:03,1,1,1,0
7,2/15/2022 20:08,1,1,1,0
19,2/15/2022 20:20,1,1,1,0
200,2/15/2022 20:34,1,1,1,0
27,2/15/2022 20:40,1,1,1,0
15,2/15/2022 21:21,1,1,1,0
13,2/15/2022 21:21,1,1,1,0
8,2/15/2022 23:47,1,1,1,0
8,2/16/2022 11:28,1,0,1,0
1,2/16/2022 12:22,1,0,1,0
11,2/16/2022 12:41,1,0,1,0
9,2/16/2022 12:42,1,0,1,0
10,2/16/2022 12:47,1,0,1,0
3,2/16/2022 12:47,1,0,1,0
14,2/16/2022 12:53,1,0,1,0
200,2/16/2022 12:53,1,0,1,0
6,2/16/2022 12:55,1,0,1,0
28,2/16/2022 13:02,1,0,1,0
7,2/16/2022 13:02,1,0,1,0
19,2/16/2022 13:05,1,0,1,0
17,2/16/2022 13:05,1,0,1,0
12,2/16/2022 13:13,1,0,1,0
13,2/16/2022 13:29,1,0,1,0
29,2/16/2022 13:48,1,0,1,0
4,2/16/2022 14:05,1,0,1,0
18,2/16/2022 14:08,1,0,1,0
15,2/16/2022 14:38,1,0,1,0
20,2/16/2022 14:48,1,0,1,0
5,2/16/2022 16:25,1,0,1,0
13,2/16/2022 19:26,1,1,1,0
4,2/16/2022 20:28,1,1,1,0
200,2/16/2022 20:29,1,1,1,0
29,2/16/2022 20:39,1,1,1,0
17,2/16/2022 20:40,1,1,1,0
19,2/16/2022 20:46,1,1,1,0
15,2/16/2022 20:49,1,1,1,0
27,2/16/2022 20:53,1,1,1,0
20,2/16/2022 21:05,1,1,1,0
18,2/16/2022 21:05,1,1,1,0
9,2/16/2022 21:12,1,1,1,0
5,2/16/2022 21:15,1,1,1,0
3,2/16/2022 21:20,1,1,1,0
12,2/16/2022 21:21,1,1,1,0
6,2/16/2022 21:25,1,1,1,0
28,2/16/2022 21:38,1,1,1,0
14,2/16/2022 21:52,1,1,1,0
1,2/16/2022 21:58,1,1,1,0
7,2/16/2022 22:04,1,1,1,0
10,2/16/2022 22:04,1,1,1,0
11,2/16/2022 22:08,1,1,1,0
8,2/17/2022 2:14,1,1,1,0
19,2/17/2022 10:23,1,1,1,0
14,2/17/2022 10:23,1,0,1,0
28,2/17/2022 10:38,1,0,1,0
11,2/17/2022 10:38,1,0,1,0
13,2/17/2022 10:47,1,0,1,0
4,2/17/2022 10:55,1,0,1,0
10,2/17/2022 10:57,1,0,1,0
7,2/17/2022 10:58,1,0,1,0
17,2/17/2022 11:07,1,0,1,0
8,2/17/2022 11:11,1,0,1,0
12,2/17/2022 11:21,1,0,1,0
6,2/17/2022 11:42,1,0,1,0
3,2/17/2022 11:46,1,0,1,0
15,2/17/2022 11:53,1,0,1,0
27,2/17/2022 11:54,1,0,1,0
5,2/17/2022 11:55,1,0,1,0
9,2/17/2022 12:11,1,0,1,0
18,2/17/2022 12:17,1,0,1,0
20,2/17/2022 12:17,1,0,1,0
15,2/17/2022 12:37,1,1,1,0
19,2/17/2022 13:27,1,1,1,0
200,2/17/2022 13:36,1,0,1,0
29,2/17/2022 13:46,1,0,1,0
17,2/17/2022 18:23,1,1,1,0
13,2/17/2022 18:59,1,1,1,0
29,2/17/2022 19:27,1,1,1,0
4,2/17/2022 19:52,1,1,1,0
